id;name;slug;uic8_sncf;sncf_id;is_main_station;parent_station_id
1;Château-Arnoux—St-Auban;chateau-arnoux-st-auban;;FRAAA;f;
2;Château-Arnoux—St-Auban;chateau-arnoux-st-auban;87751230;FRCAA;t;1
3;Château-Arnoux Mairie;chateau-arnoux-mairie;87751222;FRHXG;f;1
4;Digne-les-Bains;digne-les-bains;;FRAAB;f;
6;Digne-les-Bains;digne-les-bains;87751495;FRXDI;t;4
7;La Crau;la-crau;87755611;FRAAC;f;
8;Aire-sur-l’Adour;aire-sur-ladour;87671040;FRAAD;f;
9;Cagnes-sur-Mer;cagnes-sur-mer;87756320;FRAAE;t;5768
10;Menton;menton;;FRAAF;f;
11;Menton;menton;87756486;FRXMT;t;10
12;Menton—Garavan;menton-garavan;87756494;FRIAG;f;10
16;Vievola;vievola;;FRAAH;f;
17;Vievola;vievola;;ITAAE;f;16
18;Vievola;vievola;;FRIAU;t;16
19;Mandelieu-la-Napoule;mandelieu-la-napoule;87757591;FRAAJ;f;
23;Decazeville;decazeville;;FRAAQ;f;
24;Decazeville Centre;decazeville-centre;87613679;FRFTW;t;23
25;Viviez—Decazeville;viviez-decazeville;87613661;FRVZD;f;23
26;Decazeville Fontvergne;decazeville-fontvergne;87613695;FRFTX;f;23
27;St-Sever;st-sever;;FRAAS;f;
28;St-Sever Centre;st-sever-centre;87419291;FRDQV;f;27
29;St-Sever;st-sever;87447714;FRDUQ;t;27
30;Vire;vire;;FRAAT;f;
31;Vire Centre;vire-centre;87448167;FRDUY;f;30
32;Vire;vire;87448159;FRDUX;t;30
33;Marans;marans;;FRAAV;f;
34;Marans Centre;marans-centre;87389882;FRDHK;f;33
35;Marans;marans;87485060;FREII;t;33
36;Uzerche;uzerche;87594200;FRAAW;t;5607
38;Dijon Ville;dijon-ville;87713040;FRABA;t;1782
40;Pontrieux;pontrieux;;FRABD;f;
41;Pontrieux Halte;pontrieux-halte;87473835;FREAB;f;40
42;Pontrieux;pontrieux;87473843;FREAC;t;40
43;Auboué;auboue;87191684;FRABE;f;
44;Périgueux;perigueux;87595009;FRABF;t;4957
45;Besançon Viotte;besancon-viotte;87718007;FRABG;t;5029
47;Douarnenez Office de Tourisme;douarnenez-office-de-tourisme;87479907;FREEV;f;
50;Concarneau;concarneau;;FRABJ;f;
51;Concarneau Port;concarneau-port;87479899;FREEU;f;50
52;Concarneau;concarneau;87474387;FREBC;t;50
55;Aboncourt;aboncourt;87191403;FRABM;f;
56;Aiton—Bourgneuf;aiton-bourgneuf;87741249;FRABN;f;
57;Colomiers;colomiers;;FRABP;f;
58;Colomiers;colomiers;87611467;FRFQB;t;57
59;Colomiers Lycée International;colomiers-lycee-international;87611921;FRFRP;f;57
60;Labège;labege;;FRABQ;f;
61;Labège Innopole;labege-innopole;87612002;FRFRV;t;60
62;Labège Village;labege-village;87612028;FRFRX;f;60
63;Azay-le-Rideau Mairie;azay-le-rideau-mairie;87110296;FRABR;f;5083
64;Albas;albas;87613752;FRABS;t;9007
65;Abancourt;abancourt;87313759;FRABT;f;
66;Lunel;lunel;;FRABV;f;
67;Lunel-Viel;lunel-viel;87773424;FRIJC;f;66
68;Lunel;lunel;87773408;FRIJB;t;66
72;Moirans;moirans;87747329;FRABZ;t;4774
73;Arc-et-Senans;arc-et-senans;87718841;FRACA;f;
74;Accolay;accolay;87683656;FRACC;f;
76;Dole Ville;dole-ville;87713412;FRACE;t;1845
77;Dax;dax;87673202;FRACG;t;5776
80;Rezé;reze;;FRACJ;f;
82;Rezé—Pont-Rousseau;reze-pont-rousseau;87481036;FREFC;t;80
83;Cherbourg;cherbourg;87444877;FRACK;f;
84;Angers St-Laud;angers-st-laud;87484006;FRACL;t;344
85;Saumur;saumur;87487603;FRACN;t;5831
87;Cérences Centre;cerences-centre;87388199;FRDGZ;f;9462
89;Reims;reims;;FRACQ;f;
90;Reims Maison Blanche;reims-maison-blanche;87171272;FRBBX;f;89
91;Champagne-Ardenne TGV;champagne-ardenne-tgv;87171926;FREAH;f;89
92;Reims Ville;reims-ville;87171009;FRRHE;t;89
93;Laval;laval;87478404;FRACR;t;4714
94;Accous;accous;87672782;FRACS;f;
95;Achiet;achiet;87342048;FRACT;f;
96;Louverné;louverne;;FRACU;f;
97;Louverné;louverne;87478511;FREEB;t;96
98;Louverné Centre;louverne-centre;;FREEW;f;96
99;Mayenne;mayenne;;FRACW;f;
100;Mayenne;mayenne;87478594;FREEI;t;99
101;Mayenne Centre;mayenne-centre;87478602;FREEJ;f;99
104;Arnage;arnage;;FRADA;f;
105;Arnage;arnage;87396549;FRDMK;t;104
106;Arnage Centre;arnage-centre;87360339;FRDBM;f;104
107;Carnac;carnac;;FRADB;f;
108;Plouharnel—Carnac;plouharnel-carnac;87476416;FRECR;f;107
109;Les Sables-Blancs;les-sables-blancs;87476267;FRECL;f;107
110;Carnac;carnac;87289678;FRRNC;t;107
111;St-Pierre-Quiberon;st-pierre-quiberon;;FRADC;f;
112;L’Isthme;listhme;87476275;FRECM;f;111
113;St-Pierre-Quiberon;st-pierre-quiberon;87476440;FRECU;t;111
114;Metz;metz;87192039;FRADE;t;4827
115;Forbach;forbach;;FRADF;f;
117;Forbach Gare;forbach-gare;87193003;FRBQT;t;115
118;Sarreguemines;sarreguemines;;FRADG;f;
119;Sarreguemines Poste;sarreguemines-poste;;FRZDB;f;118
121;Sarreguemines;sarreguemines;87193615;FRSGS;t;118
122;Dunkerque;dunkerque;87281006;FRADI;f;
123;Lille-Flandres;lille-flandres;87286005;FRADJ;f;4652
124;Haubourdin;haubourdin;87286096;FRADK;f;
125;Tourcoing;tourcoing;87286542;FRADM;t;5840
126;Nomain;nomain;;FRADN;f;
127;Nomain-Ouvignies;nomain-ouvignies;87286815;FRCKM;f;126
128;Nomain;nomain;87286609;FRCKC;t;126
129;Croix;croix;;FRADO;f;
130;Croix—Wasquehal;croix-wasquehal;87286716;FRCKH;t;129
131;Croix-l’Allumette;croix-lallumette;87281055;FRCID;f;129
132;Roubaix;roubaix;87286732;FRADP;f;
136;Jeumont;jeumont;;FRADR;f;
137;Jeumont;jeumont;87295014;FRCMA;t;136
139;Bellegarde-sur-Valserine;bellegarde-sur-valserine;;FRADS;f;
140;Bellegarde-sur-Valserine;bellegarde-sur-valserine;87745000;FRXBF;t;139
141;Bellegarde-sur-Valserine Lycée Musinens;bellegarde-sur-valserine-lycee-musinens;87742726;FRAFH;f;139
143;Briouze;briouze;87448084;FRADV;f;
148;Calais Ville;calais-ville;87317263;FRAEA;t;1417
149;Boulogne-sur-Mer Ville;boulogne-sur-mer-ville;87317586;FRAEB;t;5758
150;Allenc;allenc;87783654;FRAEC;f;
151;Pau;pau;87672006;FRAEE;t;5006
152;Hendaye;hendaye;87677005;FRAEF;t;5785
153;Strasbourg;strasbourg;87212027;FRAEG;t;5260
154;Mertzwiller;mertzwiller;;FRAEH;f;
155;Mertzwiller;mertzwiller;87213207;FRBVY;t;154
157;Colmar;colmar;87182014;FRAEJ;t;1349
158;Mulhouse;mulhouse;87182063;FRAEK;t;4753
159;St-Louis (Haut Rhin);st-louis-haut-rhin;;FRAEL;f;
160;St-Louis La-Chaussée;st-louis-la-chaussee;87181016;FRBIH;f;159
161;St-Louis;st-louis;87182139;FRXLI;t;159
162;Thann;thann;;FRAEM;f;
163;Thann;thann;87182568;FRBKM;t;162
164;Thann—St-Jacques;thann-st-jacques;87182881;FRBLI;f;162
165;Givors Canal;givors-canal;87722439;FRAEO;f;3263
166;Aspach-le-Haut;aspach-le-haut;;FRAEQ;f;
167;Aspach-le-Haut;aspach-le-haut;87674143;FRGII;t;166
168;Aspach-le-Bas;aspach-le-bas;87215376;FRCAQ;f;166
171;Avignon Centre;avignon-centre;87765008;FRAES;f;489
172;Le Mans;le-mans;87396002;FRAET;t;4661
173;Joué-lès-Tours Berthelot;joue-les-tours-berthelot;87110288;FRAEV;f;4580
174;Eu;eu;;FRAEX;f;
175;Eu-la-Mouillette;eu-la-mouillette;87316760;FRCVR;f;174
176;Eu;eu;87317537;FREUX;t;174
177;Alleyras;alleyras;87731885;FRAEY;f;
178;Le Havre;le-havre;87413013;FRAEZ;t;4630
179;Harfleur;harfleur;;FRAFA;f;
180;Harfleur-Halte;harfleur-halte;87413708;FRDOR;f;179
181;Harfleur;harfleur;87413302;FRDOE;t;179
182;Montivilliers;montivilliers;;FRAFB;f;
184;Montivilliers;montivilliers;87413724;FRDOT;t;182
186;Dieppe;dieppe;87415018;FRAFD;t;1926
187;Fontainebleau—Avon;fontainebleau-avon;;FRAFE;f;
188;Péronne;peronne;;FRAFI;f;
189;Péronne Centre;peronne-centre;87313411;FRCRJ;t;188
190;Péronne La Chapelette;peronne-la-chapelette;87313866;FRCSU;f;188
191;Albi Ville;albi-ville;87615005;FRAFJ;t;4604
192;Orléans;orleans;87543009;FRAFK;t;4894
194;Vendôme;vendome;87574558;FRAFM;f;5846
195;Fréjus;frejus;87757500;FRAFN;t;4583
196;Fontenay-le-Comte;fontenay-le-comte;87485615;FRAFQ;t;2776
197;Acheux-Franleu;acheux-franleu;87316745;FRAFR;f;
198;St-Hilaire-de-Riez;st-hilaire-de-riez;;FRAFS;f;
199;St-Hilaire-de-Riez;st-hilaire-de-riez;87486563;FREKO;t;198
200;St-Hilaire-de-Riez Centre;st-hilaire-de-riez-centre;87389924;FRDHN;f;198
201;La Clayette—Baudemont;la-clayette-baudemont;87694737;FRAFT;f;
203;Tours;tours;87571000;FRAFW;t;5338
204;Cambrai;cambrai;87345520;FRAFX;f;
205;Aiguebelle;aiguebelle;87741256;FRAGB;f;
207;Agen;agen;87586008;FRAGF;f;17433
208;Ervy-le-Châtel Halles;ervy-le-chatel-halles;87110346;FRAGJ;f;5684
209;Fays-la-Chapelle;fays-la-chapelle;87110379;FRAGK;f;
210;Agonac;agonac;87595157;FRAGO;f;
211;Limoges Bénédictins;limoges-benedictins;87592006;FRAGQ;t;4651
212;Modane;modane;87742007;FRAGR;f;
213;Agos;agos;87620070;FRAGS;f;
214;Argenton-sur-Creuse;argenton-sur-creuse;;FRAGT;f;
215;Argenton-sur-Creuse;argenton-sur-creuse;87597120;FRFMT;t;214
